epoch,step,train_acc,train_loss,val_acc,val_loss
0,49,0.078125,2.3572280406951904,,
0,99,0.09375,2.3105039596557617,,
0,149,0.125,2.3014638423919678,,
0,199,0.140625,2.2926437854766846,,
0,249,0.125,2.277482032775879,,
0,299,0.140625,2.284846544265747,,
0,349,0.1875,2.2874181270599365,,
0,399,0.0625,2.3131628036499023,,
0,449,0.03125,2.325549364089966,,
0,499,0.140625,2.3015341758728027,,
0,549,0.15625,2.2872238159179688,,
0,599,0.09375,2.31172776222229,,
0,649,0.125,2.301196336746216,,
0,699,0.140625,2.2924246788024902,,
0,749,0.109375,2.2915544509887695,,
0,799,0.109375,2.3061234951019287,,
0,849,0.109375,2.3025355339050293,,
0,899,0.15625,2.2916061878204346,,
0,936,,,0.11348157376050949,2.3050894737243652
1,949,0.140625,2.314253091812134,,
1,999,0.125,2.2832958698272705,,
1,1049,0.140625,2.3127224445343018,,
1,1099,0.09375,2.3253173828125,,
1,1149,0.109375,2.326704502105713,,
1,1199,0.0625,2.310368061065674,,
1,1249,0.09375,2.2769579887390137,,
1,1299,0.234375,2.3009634017944336,,
1,1349,0.140625,2.3075649738311768,,
1,1399,0.140625,2.289389133453369,,
1,1449,0.171875,2.2810492515563965,,
1,1499,0.078125,2.2994604110717773,,
1,1549,0.140625,2.3111069202423096,,
1,1599,0.125,2.2983696460723877,,
1,1649,0.140625,2.308187484741211,,
1,1699,0.140625,2.3093769550323486,,
1,1749,0.125,2.308459758758545,,
1,1799,0.0625,2.290314197540283,,
1,1849,0.15625,2.272230625152588,,
1,1873,,,0.10096153616905212,2.303668737411499
2,1899,0.109375,2.298114776611328,,
2,1949,0.15625,2.307570219039917,,
2,1999,0.03125,2.3138959407806396,,
2,2049,0.125,2.3055195808410645,,
2,2099,0.078125,2.334712505340576,,
2,2149,0.15625,2.3122031688690186,,
2,2199,0.078125,2.308603286743164,,
2,2249,0.15625,2.288572072982788,,
2,2299,0.09375,2.3105618953704834,,
2,2349,0.171875,2.304102897644043,,
2,2399,0.125,2.2869503498077393,,
2,2449,0.125,2.278029680252075,,
2,2499,0.109375,2.3032314777374268,,
2,2549,0.0625,2.305598497390747,,
2,2599,0.078125,2.3207221031188965,,
2,2649,0.078125,2.3269076347351074,,
2,2699,0.0625,2.323347806930542,,
2,2749,0.125,2.3046584129333496,,
2,2799,0.0625,2.3214235305786133,,
2,2810,,,0.10096153616905212,2.3053042888641357
3,2849,0.140625,2.305126905441284,,
3,2899,0.109375,2.2966465950012207,,
3,2949,0.03125,2.327505588531494,,
3,2999,0.15625,2.3037309646606445,,
3,3049,0.0625,2.322577953338623,,
3,3099,0.109375,2.3119888305664062,,
3,3149,0.046875,2.318115711212158,,
3,3199,0.109375,2.3259098529815674,,
3,3249,0.109375,2.310478448867798,,
3,3299,0.046875,2.31414532661438,,
3,3349,0.15625,2.3116681575775146,,
3,3399,0.1875,2.289848566055298,,
3,3449,0.09375,2.3102669715881348,,
3,3499,0.078125,2.2943508625030518,,
3,3549,0.109375,2.3156378269195557,,
3,3599,0.09375,2.295736312866211,,
3,3649,0.109375,2.3107850551605225,,
3,3699,0.046875,2.321146011352539,,
3,3747,,,0.09745592623949051,2.30855393409729
4,3749,0.078125,2.3188445568084717,,
4,3799,0.21875,2.2842507362365723,,
4,3849,0.078125,2.3236820697784424,,
4,3899,0.171875,2.291654586791992,,
4,3949,0.109375,2.2920479774475098,,
4,3999,0.171875,2.279010534286499,,
4,4049,0.0625,2.324277639389038,,
4,4099,0.09375,2.319751262664795,,
4,4149,0.046875,2.3198752403259277,,
4,4199,0.125,2.3123250007629395,,
4,4249,0.078125,2.3190407752990723,,
4,4299,0.15625,2.287571907043457,,
4,4349,0.0625,2.305760383605957,,
4,4399,0.109375,2.3031492233276367,,
4,4449,0.109375,2.301164388656616,,
4,4499,0.109375,2.3069143295288086,,
4,4549,0.09375,2.3191535472869873,,
4,4599,0.078125,2.299206495285034,,
4,4649,0.125,2.3007779121398926,,
4,4684,,,0.10096153616905212,2.305595874786377
